batch_size,prompt_len,gen_len,num_requests,wall_clock_s,reported_tok_s,ttft_ms_p50,itl_ms_p50,e2e_ms_p95,preempted_seqs,kv_cache_util,prompt_tokens_total,expected_generated_tokens,total_tokens_processed,wall_time_s,wall_time_from_reported_tok_s,single_seq_latency_s,goodput_tok_s,total_throughput_tok_s,gen_token_fraction,reported_vs_goodput_ratio,divergence_pct
1,512,256,1,10.94,70.2,71.1,43.48,12863.7,0,0.01,512,256,768,10.94,10.94017094017094,11.1585,23.40036563071298,70.20109689213895,0.3333333333333333,2.999953125,66.66614582519517
2,512,256,2,11.61,132.3,68.3,43.1,13045.7,0,0.01,1024,512,1536,11.61,11.609977324263038,11.0588,44.09991386735573,132.2997416020672,0.3333333333333333,3.000005859375,66.66673177070618
4,512,256,4,11.77,261.0,71.5,45.34,13409.5,0,0.03,2048,1024,3072,11.77,11.770114942528735,11.6332,87.00084961767205,261.00254885301615,0.3333333333333333,2.9999707031250002,66.66634114265439
8,512,256,8,12.4,495.4,72.7,46.83,14137.1,0,0.06,4096,2048,6144,12.4,12.40209931368591,12.01435,165.16129032258064,495.4838709677419,0.3333333333333333,2.9994921875,66.6610233503067
16,512,256,16,13.91,883.2,71.7,48.33,15592.3,0,0.12,8192,4096,12288,13.91,13.91304347826087,12.395850000000001,294.4644140905823,883.3932422717469,0.3333333333333333,2.9993437500000004,66.65937340459894
32,512,256,32,16.5,1489.6,68.3,56.17,18502.8,0,0.23,16384,8192,24576,16.5,16.498388829215898,14.39165,496.4848484848485,1489.4545454545455,0.3333333333333333,3.0002929687499997,66.6699215571396
64,512,256,64,21.68,2267.3,73.3,67.91,24323.7,0,0.47,32768,16384,49152,21.68,21.678648612887574,17.390349999999998,755.719557195572,2267.158671586716,0.3333333333333333,3.0001870117187504,66.6687444451298
4,3584,512,4,28.98,565.4,483.2,51.33,32673.3,0,0.16,14336,2048,16384,28.98,28.97771489211178,26.712829999999997,70.66942719116632,565.3554175293306,0.125,8.000630859375,87.5009856400484
8,3584,512,8,36.3,902.6,519.0,62.26,39982.9,0,0.31,28672,4096,32768,36.3,36.304010635940614,32.33386,112.8374655647383,902.6997245179064,0.125,7.9991162109375,87.49861892701769
16,3584,512,16,49.97,1311.4,498.3,77.2,54602.1,0,0.62,57344,8192,65536,49.97,49.97407350922678,39.947500000000005,163.9383630178107,1311.5069041424856,0.125,7.9993479003906245,87.49898101130009
24,3584,512,24,61.16,1607.4,500.5,96.07,69221.3,0,0.93,86016,12288,98304,61.16,61.15714818962299,49.59227,200.91563113145847,1607.3250490516677,0.125,8.000373046875,87.50058285856299
32,3584,512,32,94.71,1384.0,636.9,101.79,97465.7,7,0.97,114688,16384,131072,94.71,94.70520231213872,52.651590000000006,172.99123640587055,1383.9298912469644,0.125,8.0004052734375,87.50063320766832
48,3584,512,48,151.41,1298.5,955.4,100.0,105427.5,23,0.97,172032,24576,196608,151.41,151.41162880246438,52.0554,162.31424608678424,1298.513968694274,0.125,7.999913940429687,87.49986553047484
